Room,Value,Time,Type
Ruum 1,1015.0,21:32 2023-05-24,CO2 ppm
Ruum 1,1019.0,21:35 2023-05-24,CO2 ppm
Ruum 1,1010.0,21:38 2023-05-24,CO2 ppm
Ruum 1,1007.0,21:41 2023-05-24,CO2 ppm
Ruum 1,23.4,21:43 2023-05-24,t° C
Ruum 1,39.8,21:43 2023-05-24,RH %
Ruum 1,1012.0,21:44 2023-05-24,CO2 ppm
Ruum 1,1013.0,21:47 2023-05-24,CO2 ppm
Ruum 1,1014.0,21:50 2023-05-24,CO2 ppm
Ruum 1,1015.0,21:53 2023-05-24,CO2 ppm
Ruum 1,1017.0,21:56 2023-05-24,CO2 ppm
Ruum 1,23.4,21:58 2023-05-24,t° C
Ruum 1,40.0,21:58 2023-05-24,RH %
Ruum 1,1015.0,21:59 2023-05-24,CO2 ppm
Ruum 1,1011.0,22:02 2023-05-24,CO2 ppm
Ruum 1,1012.0,22:05 2023-05-24,CO2 ppm
Ruum 1,1016.0,22:08 2023-05-24,CO2 ppm
Ruum 1,1018.0,22:11 2023-05-24,CO2 ppm
Ruum 1,23.3,22:13 2023-05-24,t° C
Ruum 1,40.3,22:13 2023-05-24,RH %
Ruum 1,1013.0,22:14 2023-05-24,CO2 ppm
Ruum 1,1019.0,22:17 2023-05-24,CO2 ppm
Ruum 1,1019.0,22:20 2023-05-24,CO2 ppm
Ruum 1,1017.0,22:23 2023-05-24,CO2 ppm
Ruum 1,1018.0,22:26 2023-05-24,CO2 ppm
Ruum 1,40.4,22:28 2023-05-24,RH %
Ruum 1,23.2,22:28 2023-05-24,t° C
Ruum 1,1015.0,22:29 2023-05-24,CO2 ppm
Ruum 1,1018.0,22:32 2023-05-24,CO2 ppm
Ruum 1,1018.0,22:35 2023-05-24,CO2 ppm
Ruum 1,1000.0,22:38 2023-05-24,CO2 ppm
Ruum 1,999.0,22:41 2023-05-24,CO2 ppm
Ruum 1,23.2,22:43 2023-05-24,t° C
Ruum 1,40.6,22:43 2023-05-24,RH %
Ruum 1,1000.0,22:44 2023-05-24,CO2 ppm
Ruum 1,1004.0,22:47 2023-05-24,CO2 ppm
Ruum 1,1005.0,22:50 2023-05-24,CO2 ppm
Ruum 1,1004.0,22:53 2023-05-24,CO2 ppm
Ruum 1,1003.0,22:56 2023-05-24,CO2 ppm
Ruum 1,23.1,22:58 2023-05-24,t° C
Ruum 1,40.8,22:58 2023-05-24,RH %
Ruum 1,1008.0,22:59 2023-05-24,CO2 ppm
Ruum 1,1007.0,23:02 2023-05-24,CO2 ppm
Ruum 1,1008.0,23:05 2023-05-24,CO2 ppm
Ruum 1,1008.0,23:08 2023-05-24,CO2 ppm
Ruum 1,1010.0,23:11 2023-05-24,CO2 ppm
Ruum 1,23.1,23:13 2023-05-24,t° C
Ruum 1,40.9,23:13 2023-05-24,RH %
Ruum 1,1011.0,23:14 2023-05-24,CO2 ppm
Ruum 1,1011.0,23:17 2023-05-24,CO2 ppm
Ruum 1,1004.0,23:20 2023-05-24,CO2 ppm
Ruum 1,1006.0,23:23 2023-05-24,CO2 ppm
Ruum 1,1004.0,23:26 2023-05-24,CO2 ppm
Ruum 1,23.0,23:28 2023-05-24,t° C
Ruum 1,41.1,23:28 2023-05-24,RH %
Ruum 1,1004.0,23:29 2023-05-24,CO2 ppm
Ruum 1,1004.0,23:32 2023-05-24,CO2 ppm
Ruum 1,1005.0,23:35 2023-05-24,CO2 ppm
Ruum 1,1000.0,23:38 2023-05-24,CO2 ppm
Ruum 1,997.0,23:41 2023-05-24,CO2 ppm
Ruum 1,23.0,23:43 2023-05-24,t° C
Ruum 1,41.2,23:43 2023-05-24,RH %
Ruum 1,1000.0,23:44 2023-05-24,CO2 ppm
Ruum 1,998.0,23:47 2023-05-24,CO2 ppm
Ruum 1,998.0,23:50 2023-05-24,CO2 ppm
Ruum 1,1000.0,23:53 2023-05-24,CO2 ppm
Ruum 1,998.0,23:56 2023-05-24,CO2 ppm
Ruum 1,22.9,23:58 2023-05-24,t° C
Ruum 1,41.4,23:58 2023-05-24,RH %
Ruum 1,996.0,23:59 2023-05-24,CO2 ppm
Ruum 1,999.0,00:02 2023-05-25,CO2 ppm
Ruum 1,998.0,00:05 2023-05-25,CO2 ppm
Ruum 1,1000.0,00:08 2023-05-25,CO2 ppm
Ruum 1,1001.0,00:11 2023-05-25,CO2 ppm
Ruum 1,22.9,00:13 2023-05-25,t° C
Ruum 1,41.5,00:13 2023-05-25,RH %
Ruum 1,1000.0,00:14 2023-05-25,CO2 ppm
Ruum 1,995.0,00:17 2023-05-25,CO2 ppm
Ruum 1,993.0,00:20 2023-05-25,CO2 ppm
Ruum 1,990.0,00:23 2023-05-25,CO2 ppm
Ruum 1,990.0,00:26 2023-05-25,CO2 ppm
Ruum 1,22.8,00:28 2023-05-25,t° C
Ruum 1,41.6,00:28 2023-05-25,RH %
Ruum 1,991.0,00:29 2023-05-25,CO2 ppm
Ruum 1,997.0,00:32 2023-05-25,CO2 ppm
Ruum 1,991.0,00:35 2023-05-25,CO2 ppm
Ruum 1,990.0,00:38 2023-05-25,CO2 ppm
Ruum 1,992.0,00:41 2023-05-25,CO2 ppm
Ruum 1,22.8,00:43 2023-05-25,t° C
Ruum 1,41.7,00:43 2023-05-25,RH %
Ruum 1,998.0,00:44 2023-05-25,CO2 ppm
Ruum 1,999.0,00:47 2023-05-25,CO2 ppm
Ruum 1,1002.0,00:50 2023-05-25,CO2 ppm
Ruum 1,999.0,00:53 2023-05-25,CO2 ppm
Ruum 1,992.0,00:56 2023-05-25,CO2 ppm
Ruum 1,22.7,00:58 2023-05-25,t° C
Ruum 1,41.9,00:58 2023-05-25,RH %
Ruum 1,994.0,00:59 2023-05-25,CO2 ppm
Ruum 1,994.0,01:02 2023-05-25,CO2 ppm
Ruum 1,990.0,01:05 2023-05-25,CO2 ppm
Ruum 1,984.0,01:08 2023-05-25,CO2 ppm
Ruum 1,985.0,01:11 2023-05-25,CO2 ppm
Ruum 1,22.7,01:13 2023-05-25,t° C
Ruum 1,42.0,01:13 2023-05-25,RH %
Ruum 1,990.0,01:14 2023-05-25,CO2 ppm
Ruum 1,986.0,01:17 2023-05-25,CO2 ppm
Ruum 1,987.0,01:20 2023-05-25,CO2 ppm
Ruum 1,990.0,01:23 2023-05-25,CO2 ppm
Ruum 1,992.0,01:26 2023-05-25,CO2 ppm
Ruum 1,22.7,01:28 2023-05-25,t° C
Ruum 1,42.1,01:28 2023-05-25,RH %
Ruum 1,990.0,01:29 2023-05-25,CO2 ppm
Ruum 1,987.0,01:32 2023-05-25,CO2 ppm
Ruum 1,991.0,01:35 2023-05-25,CO2 ppm
Ruum 1,985.0,01:38 2023-05-25,CO2 ppm
Ruum 1,985.0,01:41 2023-05-25,CO2 ppm
Ruum 1,22.7,01:43 2023-05-25,t° C
Ruum 1,42.2,01:43 2023-05-25,RH %
Ruum 1,983.0,01:44 2023-05-25,CO2 ppm
