Datum;SW Temp;IW Temp;SW Feuchte;IW Feuchte;Vereisung VD;Temp 1 Klimakammer;Feuchte 1 Klimakammer;Temp 2 Klimakammer;Feuchte 2 Klimakammer;Mittelwert Feuchte absolut;Hochdruck;Saugdruck;Sauggastemperatur;Heißgastemperatur;Flüssigkeitstemperatur;Ölüberwachung;Sauggastemperatur Verdampfer;Temperatur Verdampfer Eintritt;Temperatur Verdampfer Austritt;SW Hochdruck;SW Hochdruck MAX;SW MOP;SW Nacheinspritzung;SW Min Überhitzung;Regler Temp Heizen;Regler Temp Kühlen;Regler Feuchte Befeuchten;Regler Feuchte Entfeuchten;Regler Hochdruck;Regler Hochdruck MAX;Regler Min Überhitzung;Regler MOP;Regler Nacheinspritzung;Y Lüfter;Y Befeuchter;Y Erhitzer;Y Expansionsventil Verdampfer;Y Heißgasventil;Y Kompressor;Y Verflüssiger;Überhitzung Kompressor;Überhitzung Verdampfer;Unterkühlung
14.2.2024 12:05:53;0;24.428865432739258;40;59.54534912109375;-10.40820026397705;23.911399841308594;59.99800109863281;24.124900817871094;59.09270095825195;10.903576850891113;12.214599609375;-0.8967999815940857;7.906099796295166;73.64089965820312;6.820300102233887;138.63999938964844;11.105600357055664;23.68000030517578;23.19860076904297;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;77.5;0;0;5;0;43;0;79.29658508300781;82.49598693847656;19.541852951049805
14.2.2024 12:06:13;0;24.45829963684082;40;60.430450439453125;-10.40410041809082;23.999900817871094;60.760799407958984;24.124900817871094;60.100101470947266;11.101104736328125;12.094200134277344;-0.8953999876976013;7.940000057220459;74.49639892578125;7.031899929046631;138.63999938964844;11.210100173950195;23.739900588989258;23.452999114990234;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;77.5;0;0;5;0;43;0;79.26851654052734;82.53871154785156;18.98247528076172
14.2.2024 12:06:33;0;24.45829963684082;40;61.34735107421875;-9.689499855041504;23.999900817871094;61.7765007019043;24.124900817871094;60.9182014465332;11.266987800598145;12.062700271606445;-0.8948000073432922;7.988500118255615;75.06580352783203;7.237599849700928;138.63999938964844;11.31089973449707;23.795799255371094;23.60770034790039;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;77.5;0;0;5;0;43;0;79.2885513305664;82.61094665527344;18.68513298034668
14.2.2024 12:06:53;0;24.45829963684082;40;62.10540008544922;-10.617799758911133;23.999900817871094;62.50790023803711;24.124900817871094;61.70289993286133;11.422940254211426;11.996500015258789;-0.8946999907493591;8.049599647521973;75.45780181884766;7.442599773406982;138.63999938964844;11.41189956665039;23.851999282836914;23.717899322509766;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;77.5;0;0;5;0;43;0;79.34478759765625;82.70709228515625;18.287792205810547
14.2.2024 12:07:13;0;24.45829963684082;40;62.88574981689453;-9.86460018157959;23.999900817871094;63.287200927734375;24.124900817871094;62.48429870605469;11.586840629577637;12.037799835205078;-0.8935999870300293;8.115900039672852;75.63200378417969;7.643599987030029;138.63999938964844;11.512100219726562;23.86389923095703;23.814800262451172;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;77.5;0;0;5;0;43;0;79.35883331298828;82.75503540039062;18.206871032714844
14.2.2024 12:07:33;0;24.476301193237305;40;63.558101654052734;-10.308699607849121;23.999900817871094;64.11250305175781;24.17889976501465;63.003700256347656;11.732649803161621;12.049699783325195;-0.8935999870300293;8.188899993896484;75.66310119628906;7.847599983215332;138.63999938964844;11.61139965057373;23.888599395751953;23.85689926147461;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;77.5;0;0;5;0;43;0;79.43183898925781;82.85433197021484;18.037353515625
14.2.2024 12:07:53;0;24.499099731445312;40;64.4260482788086;-9.568400382995605;23.999900817871094;65.08519744873047;24.247299194335938;63.76689910888672;11.907429695129395;11.932499885559082;-0.8934000134468079;8.271900177001953;75.46019744873047;8.046199798583984;138.63999938964844;11.71030044555664;23.91010093688965;23.879199981689453;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;77.5;0;0;5;0;43;0;79.50531005859375;82.94361114501953;17.497154235839844
14.2.2024 12:08:13;0;24.499967575073242;40;65.03594970703125;-11.755200386047363;23.999900817871094;65.57119750976562;24.249900817871094;64.50070190429688;12.034220695495605;11.851099967956543;-0.8938999772071838;8.369500160217285;75.19860076904297;8.24269962310791;138.63999938964844;11.80780029296875;23.93829917907715;23.89929962158203;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;77.5;0;0;5;0;43;0;79.626708984375;83.06501007080078;17.061931610107422
14.2.2024 12:08:33;0;24.459566116333008;40;65.75665283203125;-9.689900398254395;23.878700256347656;66.48699951171875;24.249900817871094;65.02629852294922;12.142794609069824;11.741499900817871;-0.8949000239372253;8.493399620056152;74.85649871826172;8.436400413513184;138.63999938964844;11.904500007629395;23.93829917907715;23.912500381469727;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;77.5;0;0;5;0;43;0;79.79811096191406;83.20921325683594;16.545085906982422
14.2.2024 12:08:53;0;24.45836639404297;40;66.50294494628906;-15.973799705505371;23.875099182128906;67.47209930419922;24.249900817871094;65.53379821777344;12.266680717468262;11.502799987792969;-0.8945000171661377;8.644100189208984;74.37190246582031;8.628199577331543;138.63999938964844;12.0024995803833;24.04400062561035;24.003799438476562;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;0;0;0;0;0;43;0;79.92977142333984;83.28817749023438;15.658646583557129
