Room,Value,Time,Type
3FAD,1026.0,15:38 2023-12-01,CO2 ppm
3FAD,19.5,15:38 2023-12-01,t° C
3FAD,46.6,15:38 2023-12-01,RH %
3FAD,1039.0,15:53 2023-12-01,CO2 ppm
3FAD,19.5,15:53 2023-12-01,t° C
3FAD,46.4,15:53 2023-12-01,RH %
3FAD,1039.0,16:08 2023-12-01,CO2 ppm
3FAD,19.4,16:08 2023-12-01,t° C
3FAD,46.3,16:08 2023-12-01,RH %
3FAD,1041.0,16:23 2023-12-01,CO2 ppm
3FAD,19.5,16:23 2023-12-01,t° C
3FAD,46.2,16:23 2023-12-01,RH %
3FAD,1104.0,16:38 2023-12-01,CO2 ppm
3FAD,19.6,16:38 2023-12-01,t° C
3FAD,46.7,16:38 2023-12-01,RH %
3FAD,1238.0,16:53 2023-12-01,CO2 ppm
3FAD,19.6,16:53 2023-12-01,t° C
3FAD,46.7,16:53 2023-12-01,RH %
3FAD,1150.0,17:08 2023-12-01,CO2 ppm
3FAD,19.6,17:08 2023-12-01,t° C
3FAD,46.1,17:08 2023-12-01,RH %
3FAD,1098.0,17:23 2023-12-01,CO2 ppm
3FAD,19.6,17:23 2023-12-01,t° C
3FAD,45.8,17:23 2023-12-01,RH %
3FAD,1092.0,17:38 2023-12-01,CO2 ppm
3FAD,19.5,17:38 2023-12-01,t° C
3FAD,45.8,17:38 2023-12-01,RH %
3FAD,1101.0,17:53 2023-12-01,CO2 ppm
3FAD,19.5,17:53 2023-12-01,t° C
3FAD,46.0,17:53 2023-12-01,RH %
3FAD,1107.0,18:08 2023-12-01,CO2 ppm
3FAD,19.5,18:08 2023-12-01,t° C
3FAD,46.1,18:08 2023-12-01,RH %
3FAD,1137.0,18:23 2023-12-01,CO2 ppm
3FAD,19.8,18:23 2023-12-01,t° C
3FAD,46.9,18:23 2023-12-01,RH %
3FAD,1237.0,18:38 2023-12-01,CO2 ppm
3FAD,20.1,18:38 2023-12-01,t° C
3FAD,47.3,18:38 2023-12-01,RH %
3FAD,1301.0,18:53 2023-12-01,CO2 ppm
3FAD,20.2,18:53 2023-12-01,t° C
3FAD,46.4,18:53 2023-12-01,RH %
3FAD,1529.0,19:08 2023-12-01,CO2 ppm
3FAD,20.6,19:08 2023-12-01,t° C
3FAD,46.3,19:08 2023-12-01,RH %
3FAD,1387.0,19:23 2023-12-01,CO2 ppm
3FAD,20.9,19:23 2023-12-01,t° C
3FAD,45.8,19:23 2023-12-01,RH %
3FAD,1420.0,19:38 2023-12-01,CO2 ppm
3FAD,21.1,19:38 2023-12-01,t° C
3FAD,45.5,19:38 2023-12-01,RH %
3FAD,1482.0,19:53 2023-12-01,CO2 ppm
3FAD,21.3,19:53 2023-12-01,t° C
3FAD,45.3,19:53 2023-12-01,RH %
3FAD,1530.0,20:08 2023-12-01,CO2 ppm
3FAD,21.4,20:08 2023-12-01,t° C
3FAD,45.1,20:08 2023-12-01,RH %
3FAD,1475.0,20:23 2023-12-01,CO2 ppm
