Room,Value,Time,Type
3F07,898.0,06:39 2023-12-02,CO2 ppm
3F07,21.5,06:39 2023-12-02,t° C
3F07,42.7,06:39 2023-12-02,RH %
3F07,892.0,06:54 2023-12-02,CO2 ppm
3F07,21.5,06:54 2023-12-02,t° C
3F07,42.7,06:54 2023-12-02,RH %
3F07,885.0,07:09 2023-12-02,CO2 ppm
3F07,21.5,07:09 2023-12-02,t° C
3F07,42.7,07:09 2023-12-02,RH %
3F07,42.7,07:24 2023-12-02,RH %
3F07,880.0,07:24 2023-12-02,CO2 ppm
3F07,21.5,07:24 2023-12-02,t° C
3F07,877.0,07:39 2023-12-02,CO2 ppm
3F07,21.5,07:39 2023-12-02,t° C
3F07,42.6,07:39 2023-12-02,RH %
3F07,869.0,07:54 2023-12-02,CO2 ppm
3F07,21.5,07:54 2023-12-02,t° C
3F07,42.6,07:54 2023-12-02,RH %
3F07,864.0,08:09 2023-12-02,CO2 ppm
3F07,21.5,08:09 2023-12-02,t° C
3F07,42.6,08:09 2023-12-02,RH %
3F07,854.0,08:24 2023-12-02,CO2 ppm
3F07,21.5,08:24 2023-12-02,t° C
3F07,42.6,08:24 2023-12-02,RH %
3F07,848.0,08:39 2023-12-02,CO2 ppm
3F07,21.5,08:39 2023-12-02,t° C
3F07,42.6,08:39 2023-12-02,RH %
3F07,844.0,08:54 2023-12-02,CO2 ppm
3F07,21.5,08:54 2023-12-02,t° C
3F07,42.6,08:54 2023-12-02,RH %
3F07,832.0,09:09 2023-12-02,CO2 ppm
3F07,21.5,09:09 2023-12-02,t° C
3F07,42.6,09:09 2023-12-02,RH %
3F07,827.0,09:24 2023-12-02,CO2 ppm
3F07,21.5,09:24 2023-12-02,t° C
3F07,42.6,09:24 2023-12-02,RH %
3F07,820.0,09:39 2023-12-02,CO2 ppm
3F07,21.5,09:39 2023-12-02,t° C
3F07,42.5,09:39 2023-12-02,RH %
3F07,814.0,09:54 2023-12-02,CO2 ppm
3F07,21.5,09:54 2023-12-02,t° C
3F07,42.6,09:54 2023-12-02,RH %
3F07,809.0,10:09 2023-12-02,CO2 ppm
3F07,21.5,10:09 2023-12-02,t° C
3F07,42.5,10:09 2023-12-02,RH %
3F07,809.0,10:24 2023-12-02,CO2 ppm
3F07,21.5,10:24 2023-12-02,t° C
3F07,42.6,10:24 2023-12-02,RH %
3F07,800.0,10:39 2023-12-02,CO2 ppm
3F07,21.5,10:39 2023-12-02,t° C
3F07,42.6,10:39 2023-12-02,RH %
3F07,792.0,10:54 2023-12-02,CO2 ppm
3F07,21.5,10:54 2023-12-02,t° C
3F07,42.6,10:54 2023-12-02,RH %
3F07,788.0,11:09 2023-12-02,CO2 ppm
3F07,21.5,11:09 2023-12-02,t° C
3F07,42.6,11:09 2023-12-02,RH %
3F07,781.0,11:24 2023-12-02,CO2 ppm
3F07,21.5,11:24 2023-12-02,t° C
3F07,42.6,11:24 2023-12-02,RH %
3F07,21.5,11:38 2023-12-02,t° C
3F07,774.0,11:38 2023-12-02,CO2 ppm
3F07,42.6,11:38 2023-12-02,RH %
3F07,21.5,11:53 2023-12-02,t° C
3F07,770.0,11:53 2023-12-02,CO2 ppm
3F07,42.6,11:53 2023-12-02,RH %
3F07,767.0,12:08 2023-12-02,CO2 ppm
3F07,21.5,12:08 2023-12-02,t° C
3F07,42.6,12:08 2023-12-02,RH %
3F07,760.0,12:23 2023-12-02,CO2 ppm
3F07,21.5,12:23 2023-12-02,t° C
3F07,42.7,12:23 2023-12-02,RH %
3F07,755.0,12:38 2023-12-02,CO2 ppm
3F07,21.5,12:38 2023-12-02,t° C
3F07,42.6,12:38 2023-12-02,RH %
3F07,750.0,12:53 2023-12-02,CO2 ppm
3F07,21.5,12:53 2023-12-02,t° C
3F07,42.6,12:53 2023-12-02,RH %
3F07,743.0,13:08 2023-12-02,CO2 ppm
3F07,21.5,13:08 2023-12-02,t° C
3F07,42.6,13:08 2023-12-02,RH %
3F07,734.0,13:23 2023-12-02,CO2 ppm
3F07,21.5,13:23 2023-12-02,t° C
3F07,42.6,13:23 2023-12-02,RH %
3F07,730.0,13:38 2023-12-02,CO2 ppm
3F07,21.5,13:38 2023-12-02,t° C
3F07,42.6,13:38 2023-12-02,RH %
3F07,726.0,13:53 2023-12-02,CO2 ppm
3F07,21.5,13:53 2023-12-02,t° C
3F07,42.6,13:53 2023-12-02,RH %
3F07,719.0,14:08 2023-12-02,CO2 ppm
3F07,21.5,14:08 2023-12-02,t° C
3F07,42.6,14:08 2023-12-02,RH %
3F07,721.0,14:23 2023-12-02,CO2 ppm
3F07,21.5,14:23 2023-12-02,t° C
3F07,42.6,14:23 2023-12-02,RH %
3F07,712.0,14:38 2023-12-02,CO2 ppm
3F07,21.5,14:38 2023-12-02,t° C
3F07,42.6,14:38 2023-12-02,RH %
3F07,712.0,14:53 2023-12-02,CO2 ppm
3F07,21.5,14:53 2023-12-02,t° C
3F07,42.6,14:53 2023-12-02,RH %
3F07,705.0,15:08 2023-12-02,CO2 ppm
3F07,21.5,15:08 2023-12-02,t° C
3F07,42.6,15:08 2023-12-02,RH %
3F07,699.0,15:23 2023-12-02,CO2 ppm
3F07,21.5,15:23 2023-12-02,t° C
3F07,42.6,15:23 2023-12-02,RH %
3F07,693.0,15:38 2023-12-02,CO2 ppm
3F07,21.5,15:38 2023-12-02,t° C
3F07,42.6,15:38 2023-12-02,RH %
3F07,691.0,15:53 2023-12-02,CO2 ppm
3F07,21.5,15:53 2023-12-02,t° C
3F07,42.6,15:53 2023-12-02,RH %
3F07,686.0,16:08 2023-12-02,CO2 ppm
3F07,21.5,16:08 2023-12-02,t° C
3F07,42.6,16:08 2023-12-02,RH %
3F07,679.0,16:23 2023-12-02,CO2 ppm
3F07,21.5,16:23 2023-12-02,t° C
3F07,42.5,16:23 2023-12-02,RH %
3F07,676.0,16:38 2023-12-02,CO2 ppm
3F07,21.5,16:38 2023-12-02,t° C
3F07,42.5,16:38 2023-12-02,RH %
3F07,669.0,16:53 2023-12-02,CO2 ppm
3F07,21.5,16:53 2023-12-02,t° C
3F07,42.6,16:53 2023-12-02,RH %
3F07,668.0,17:08 2023-12-02,CO2 ppm
3F07,21.5,17:08 2023-12-02,t° C
3F07,42.6,17:08 2023-12-02,RH %
3F07,665.0,17:23 2023-12-02,CO2 ppm
3F07,21.4,17:23 2023-12-02,t° C
3F07,42.5,17:23 2023-12-02,RH %
3F07,659.0,17:38 2023-12-02,CO2 ppm
3F07,21.4,17:38 2023-12-02,t° C
3F07,42.5,17:38 2023-12-02,RH %
3F07,654.0,17:53 2023-12-02,CO2 ppm
3F07,21.5,17:53 2023-12-02,t° C
3F07,42.5,17:53 2023-12-02,RH %
3F07,652.0,18:08 2023-12-02,CO2 ppm
3F07,21.5,18:08 2023-12-02,t° C
3F07,42.5,18:08 2023-12-02,RH %
3F07,648.0,18:23 2023-12-02,CO2 ppm
3F07,21.4,18:23 2023-12-02,t° C
3F07,42.5,18:23 2023-12-02,RH %
3F07,647.0,18:38 2023-12-02,CO2 ppm
3F07,21.4,18:38 2023-12-02,t° C
3F07,42.5,18:38 2023-12-02,RH %
3F07,641.0,18:53 2023-12-02,CO2 ppm
3F07,21.4,18:53 2023-12-02,t° C
3F07,42.5,18:53 2023-12-02,RH %
3F07,637.0,19:08 2023-12-02,CO2 ppm
3F07,21.4,19:08 2023-12-02,t° C
3F07,42.5,19:08 2023-12-02,RH %
3F07,637.0,19:23 2023-12-02,CO2 ppm
3F07,21.4,19:23 2023-12-02,t° C
3F07,42.5,19:23 2023-12-02,RH %
3F07,632.0,19:38 2023-12-02,CO2 ppm
3F07,21.4,19:38 2023-12-02,t° C
3F07,42.5,19:38 2023-12-02,RH %
3F07,632.0,19:53 2023-12-02,CO2 ppm
3F07,21.4,19:53 2023-12-02,t° C
3F07,42.5,19:53 2023-12-02,RH %
3F07,624.0,20:08 2023-12-02,CO2 ppm
3F07,21.4,20:08 2023-12-02,t° C
3F07,42.5,20:08 2023-12-02,RH %
3F07,42.5,20:23 2023-12-02,RH %
3F07,626.0,20:23 2023-12-02,CO2 ppm
3F07,21.4,20:23 2023-12-02,t° C
3F07,619.0,20:38 2023-12-02,CO2 ppm
3F07,21.4,20:38 2023-12-02,t° C
3F07,42.5,20:38 2023-12-02,RH %
