timestamp(UTC),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPid_P3-PPB_ug,NetPid_P3-PPB(ppm),NetPid_P3-TEMP(°C),NetBME280-HPA(hPa),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB_ug,NetPid_P1-PPB(ppm),NetPid_P1-TEMP(°C),NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetADC_NO2-NO2(ppb),NetADC_NO2-NO2_ug,NetCO2-HUM(%),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetCO2-CO2(ppm)
2024-02-08T14:00:00,2438.90,1966.72,949.3,0.4,2.8,988.36,52.68,-4.58,0.35,0.26,687.3364,0.2767,3.8006,109.56,51.56,43.60,88.82,39.61,-2.70,1483.19,761.06
2024-02-08T15:00:00,2937.94,2436.08,976.8,0.4,9.4,987.71,76.14,2.69,0.27,0.21,727.7479,0.3011,10.6994,101.86,49.20,40.29,79.94,58.81,4.89,1421.18,749.47
2024-02-08T16:00:00,3391.72,2899.57,1032.5,0.4,17.8,986.76,43.03,11.06,0.16,0.13,739.2998,0.3155,19.1535,31.10,15.45,12.11,23.43,31.70,13.26,1427.65,776.58
2024-02-08T17:00:00,4034.12,3576.96,1067.6,0.5,28.0,986.07,32.25,21.43,0.18,0.15,798.9458,0.3536,29.1339,79.00,41.05,25.12,46.27,24.11,23.60,1463.35,825.61
2024-02-08T18:00:00,4292.60,3836.84,1035.0,0.5,30.4,985.58,71.45,23.74,0.73,0.58,805.9395,0.3596,31.9881,80.23,41.86,42.56,78.20,58.32,25.88,1447.72,823.58
2024-02-08T19:00:00,4746.02,4240.04,1058.1,0.5,30.0,985.21,72.70,23.48,1.00,0.83,850.0225,0.3791,31.7824,38.30,19.96,23.38,43.00,59.44,25.60,1462.97,831.84
2024-02-08T20:00:00,5141.09,4596.10,1078.0,0.5,30.0,984.58,73.17,23.49,1.10,0.93,884.0547,0.3945,31.7262,36.53,19.05,19.81,36.40,59.99,25.57,1470.64,836.76
2024-02-08T21:00:00,4797.59,4214.76,1183.3,0.5,24.7,983.58,39.53,17.66,0.92,0.76,852.4602,0.3736,26.4494,-2.72,-1.61,4.33,8.39,30.10,19.81,1488.53,831.09
2024-02-08T22:00:00,4488.21,3891.82,1120.2,0.5,21.0,983.26,39.86,14.19,0.39,0.33,771.2430,0.3338,22.3929,101.31,51.27,34.85,66.01,29.74,16.34,1453.52,802.14
2024-02-08T23:00:00,4728.78,4097.02,1062.3,0.5,21.0,983.02,60.90,13.88,0.60,0.54,752.2539,0.3254,22.0000,110.24,55.74,43.11,81.73,47.72,15.94,1443.55,795.99
2024-02-09T00:00:00,5245.96,4615.60,1052.7,0.5,24.8,982.75,79.54,18.04,0.68,0.65,883.0429,0.3879,25.9167,93.47,47.79,24.89,46.92,64.16,20.20,1427.31,798.64
2024-02-09T01:00:00,5549.74,4959.19,1112.7,0.5,29.4,982.31,56.70,22.67,0.66,0.59,851.5608,0.3799,30.6458,-2.22,-1.14,0.78,1.43,45.24,24.78,1459.47,830.03
2024-02-09T02:00:00,5457.22,4881.29,1210.2,0.5,29.4,981.71,32.85,22.76,0.52,0.46,866.3328,0.3868,30.7768,36.43,19.04,9.32,17.10,24.79,24.84,1474.87,839.53
2024-02-09T03:00:00,5596.87,5031.13,1193.5,0.5,30.7,980.96,35.56,24.03,0.32,0.28,857.6556,0.3848,31.9478,105.57,55.39,38.07,69.55,27.41,26.09,1459.79,835.16
2024-02-09T04:00:00,5612.70,5059.27,1167.6,0.5,31.4,980.28,45.55,24.64,0.30,0.27,834.4758,0.3755,32.6845,88.36,46.48,36.93,67.31,36.08,26.73,1458.41,836.67
2024-02-09T05:00:00,5636.99,5091.61,1159.0,0.5,32.0,979.30,51.98,24.95,0.26,0.23,841.7542,0.3795,33.0000,78.46,41.35,34.90,63.47,41.88,26.97,1453.17,835.38
2024-02-09T06:00:00,5678.50,5139.39,1148.8,0.5,32.0,978.44,58.90,25.29,0.22,0.20,862.2927,0.3896,33.0134,65.76,34.73,32.65,59.27,47.91,27.33,1444.27,831.93
2024-02-09T07:00:00,5716.94,5179.48,1146.3,0.5,32.2,978.36,63.35,25.57,0.19,0.18,890.6660,0.4028,33.4829,55.91,29.56,28.51,51.70,52.00,27.58,1435.02,827.45
2024-02-09T08:00:00,5571.06,5034.76,1188.3,0.5,31.7,978.42,46.44,24.83,0.19,0.18,889.1337,0.4011,33.1650,-26.82,-14.14,-5.35,-9.74,36.91,26.89,1451.48,834.82
