row,date,period,PM01,PM02.5,PM10
67,2024-02-16 12:10:00,incense2,187.900061290042,191.219196261831,192.167430811484
68,2024-02-16 12:15:00,incense2,143.594520331613,146.969234884848,148.297169128433
69,2024-02-16 12:20:00,incense2,83.7093420966175,86.4948245076207,91.1719132977152
70,2024-02-16 12:25:00,incense2,59.6923074130505,62.3657784368653,64.2968115469188
71,2024-02-16 12:30:00,incense2,45.5470122339555,47.9482314004669,49.7643075370032
72,2024-02-16 12:35:00,incense2,35.8087969680779,37.7782120780368,39.8241065035794
73,2024-02-16 12:40:00,incense2,31.1926944132023,33.0765358380862,37.6979189398871
74,2024-02-16 12:45:00,incense2,26.6139021251428,28.3733452337386,30.602049171173
75,2024-02-16 12:50:00,incense2,24.1185935884188,25.75049542377,27.1092872788169
76,2024-02-16 12:55:00,incense2,20.8842649972556,22.2340733768039,23.8175126062466
77,2024-02-16 13:00:00,incense2,18.9061779369672,20.176682470365,21.8590251421341
78,2024-02-16 13:05:00,incense2,17.0987618407949,18.1923502388596,41.5251167206483
79,2024-02-16 13:10:00,incense2,10.8301221830374,12.2144396454071,13.9119318134592
80,2024-02-16 13:15:00,incense2,3.70512049314249,5.48768938552027,8.57420887260264
81,2024-02-16 13:20:00,incense2,3.37076894844917,5.37208638322184,7.96737722188228
82,2024-02-16 13:25:00,incense2,4.25422010869135,6.35471905468921,10.1827980200571
83,2024-02-16 13:30:00,incense2,5.06316851278594,7.08153541126822,8.87904253756656
84,2024-02-16 13:35:00,incense2,5.17953845970726,7.16051381805585,10.0445374404274
85,2024-02-16 13:40:00,incense2,28.2134892266899,30.8455340826101,49.7539339822434
86,2024-02-16 13:45:00,incense2,92.8310177880041,96.3520979996523,104.140744199634
87,2024-02-16 13:50:00,incense2,134.367706193316,137.818624451129,140.369068168558
88,2024-02-16 13:55:00,incense2,140.799229409987,144.13730753189,147.157937516982
89,2024-02-16 14:00:00,incense2,157.263694974451,160.424408519552,165.975200379521
90,2024-02-16 14:05:00,incense2,169.79870214374,173.540398910319,176.040766389381
91,2024-02-16 14:10:00,incense2,169.987895339782,172.192182552206,172.885449492437
92,2024-02-16 14:15:00,incense2,162.624745922134,165.301102290638,165.543810401522
93,2024-02-16 14:20:00,incense2,134.866215381138,137.661708994195,306.129987463022
94,2024-02-16 14:25:00,incense2,65.1693794616834,66.9167950553583,227.315087303763
95,2024-02-16 14:30:00,incense2,60.8971350603836,62.5229836011545,144.628795616616
96,2024-02-16 14:35:00,incense2,57.9509586630801,59.4651841954398,134.976385714453
97,2024-02-16 14:40:00,incense2,56.8401985610321,58.3197208113094,129.14091097014
98,2024-02-16 14:45:00,incense2,55.5496968750923,57.1303409789611,97.706071647336
